"TIME","GEO","INDIC_IS","UNIT","IND_TYPE","Value","Flag and Footnotes"
"2012","Spain","Last internet use: in last 3 months","Percentage of individuals","All Individuals","69",""
"2012","Spain","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Spain","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","2",""
"2012","Spain","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","3",""
"2012","Spain","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","72",""
"2012","Spain","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Spain","Last internet use: more than a year ago","Percentage of individuals","All Individuals","1",""
"2012","Spain","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Spain","Individuals who have ever used the internet","Percentage of individuals","All Individuals","73",""
"2012","Spain","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Spain","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","28",""
"2012","Spain","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Spain","Internet use: never","Percentage of individuals","All Individuals","27",""
"2012","Spain","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","France","Last internet use: in last 3 months","Percentage of individuals","All Individuals","81",""
"2012","France","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","France","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","2",""
"2012","France","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","2",""
"2012","France","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","83",""
"2012","France","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","France","Last internet use: more than a year ago","Percentage of individuals","All Individuals","2",""
"2012","France","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","France","Individuals who have ever used the internet","Percentage of individuals","All Individuals","85",""
"2012","France","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","France","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","17",""
"2012","France","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","France","Internet use: never","Percentage of individuals","All Individuals","15",""
"2012","France","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Croatia","Last internet use: in last 3 months","Percentage of individuals","All Individuals","62",""
"2012","Croatia","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Croatia","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","1",""
"2012","Croatia","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","2",""
"2012","Croatia","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","63",""
"2012","Croatia","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Croatia","Last internet use: more than a year ago","Percentage of individuals","All Individuals","2",""
"2012","Croatia","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Croatia","Individuals who have ever used the internet","Percentage of individuals","All Individuals","65",""
"2012","Croatia","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Croatia","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","37",""
"2012","Croatia","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Croatia","Internet use: never","Percentage of individuals","All Individuals","35",""
"2012","Croatia","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Italy","Last internet use: in last 3 months","Percentage of individuals","All Individuals","56",""
"2012","Italy","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Italy","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","2",""
"2012","Italy","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","4",""
"2012","Italy","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","58",""
"2012","Italy","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Italy","Last internet use: more than a year ago","Percentage of individuals","All Individuals","3",""
"2012","Italy","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Italy","Individuals who have ever used the internet","Percentage of individuals","All Individuals","61",""
"2012","Italy","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Italy","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","40",""
"2012","Italy","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Italy","Internet use: never","Percentage of individuals","All Individuals","37",""
"2012","Italy","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Cyprus","Last internet use: in last 3 months","Percentage of individuals","All Individuals","61",""
"2012","Cyprus","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Cyprus","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","1",""
"2012","Cyprus","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","1",""
"2012","Cyprus","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","61",""
"2012","Cyprus","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Cyprus","Last internet use: more than a year ago","Percentage of individuals","All Individuals","2",""
"2012","Cyprus","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Cyprus","Individuals who have ever used the internet","Percentage of individuals","All Individuals","64",""
"2012","Cyprus","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Cyprus","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","39",""
"2012","Cyprus","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Cyprus","Internet use: never","Percentage of individuals","All Individuals","36",""
"2012","Cyprus","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Latvia","Last internet use: in last 3 months","Percentage of individuals","All Individuals","73",""
"2012","Latvia","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Latvia","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","1",""
"2012","Latvia","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","1",""
"2012","Latvia","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","74",""
"2012","Latvia","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Latvia","Last internet use: more than a year ago","Percentage of individuals","All Individuals","2",""
"2012","Latvia","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Latvia","Individuals who have ever used the internet","Percentage of individuals","All Individuals","76",""
"2012","Latvia","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Latvia","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","26",""
"2012","Latvia","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Latvia","Internet use: never","Percentage of individuals","All Individuals","24",""
"2012","Latvia","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Lithuania","Last internet use: in last 3 months","Percentage of individuals","All Individuals","66",""
"2012","Lithuania","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Lithuania","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","1",""
"2012","Lithuania","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","2",""
"2012","Lithuania","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","67",""
"2012","Lithuania","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Lithuania","Last internet use: more than a year ago","Percentage of individuals","All Individuals","2",""
"2012","Lithuania","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Lithuania","Individuals who have ever used the internet","Percentage of individuals","All Individuals","69",""
"2012","Lithuania","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Lithuania","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","33",""
"2012","Lithuania","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Lithuania","Internet use: never","Percentage of individuals","All Individuals","31",""
"2012","Lithuania","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Luxembourg","Last internet use: in last 3 months","Percentage of individuals","All Individuals","92",""
"2012","Luxembourg","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Luxembourg","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","0","n"
"2012","Luxembourg","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","0","n"
"2012","Luxembourg","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","92",""
"2012","Luxembourg","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Luxembourg","Last internet use: more than a year ago","Percentage of individuals","All Individuals","1",""
"2012","Luxembourg","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Luxembourg","Individuals who have ever used the internet","Percentage of individuals","All Individuals","94",""
"2012","Luxembourg","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Luxembourg","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","8",""
"2012","Luxembourg","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Luxembourg","Internet use: never","Percentage of individuals","All Individuals","6",""
"2012","Luxembourg","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Hungary","Last internet use: in last 3 months","Percentage of individuals","All Individuals","70",""
"2012","Hungary","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Hungary","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","2",""
"2012","Hungary","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","3",""
"2012","Hungary","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","72",""
"2012","Hungary","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Hungary","Last internet use: more than a year ago","Percentage of individuals","All Individuals","2",""
"2012","Hungary","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Hungary","Individuals who have ever used the internet","Percentage of individuals","All Individuals","74",""
"2012","Hungary","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Hungary","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","28",""
"2012","Hungary","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Hungary","Internet use: never","Percentage of individuals","All Individuals","26",""
"2012","Hungary","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Malta","Last internet use: in last 3 months","Percentage of individuals","All Individuals","69",""
"2012","Malta","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Malta","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","1",""
"2012","Malta","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","2",""
"2012","Malta","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","70",""
"2012","Malta","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Malta","Last internet use: more than a year ago","Percentage of individuals","All Individuals","1",""
"2012","Malta","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Malta","Individuals who have ever used the internet","Percentage of individuals","All Individuals","71",""
"2012","Malta","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Malta","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","30",""
"2012","Malta","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Malta","Internet use: never","Percentage of individuals","All Individuals","29",""
"2012","Malta","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Netherlands","Last internet use: in last 3 months","Percentage of individuals","All Individuals","93",""
"2012","Netherlands","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Netherlands","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","1",""
"2012","Netherlands","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","1",""
"2012","Netherlands","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","93",""
"2012","Netherlands","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Netherlands","Last internet use: more than a year ago","Percentage of individuals","All Individuals","1",""
"2012","Netherlands","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Netherlands","Individuals who have ever used the internet","Percentage of individuals","All Individuals","94",""
"2012","Netherlands","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Netherlands","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","7",""
"2012","Netherlands","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Netherlands","Internet use: never","Percentage of individuals","All Individuals","6",""
"2012","Netherlands","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Austria","Last internet use: in last 3 months","Percentage of individuals","All Individuals","80",""
"2012","Austria","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Austria","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","1",""
"2012","Austria","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","1",""
"2012","Austria","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","81",""
"2012","Austria","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Austria","Last internet use: more than a year ago","Percentage of individuals","All Individuals","1",""
"2012","Austria","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Austria","Individuals who have ever used the internet","Percentage of individuals","All Individuals","83",""
"2012","Austria","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Austria","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","19",""
"2012","Austria","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Austria","Internet use: never","Percentage of individuals","All Individuals","17",""
"2012","Austria","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Poland","Last internet use: in last 3 months","Percentage of individuals","All Individuals","62",""
"2012","Poland","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Poland","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","3",""
"2012","Poland","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","4",""
"2012","Poland","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","65",""
"2012","Poland","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Poland","Last internet use: more than a year ago","Percentage of individuals","All Individuals","2",""
"2012","Poland","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Poland","Individuals who have ever used the internet","Percentage of individuals","All Individuals","68",""
"2012","Poland","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Poland","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","35",""
"2012","Poland","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Poland","Internet use: never","Percentage of individuals","All Individuals","32",""
"2012","Poland","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Portugal","Last internet use: in last 3 months","Percentage of individuals","All Individuals","60",""
"2012","Portugal","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Portugal","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","3",""
"2012","Portugal","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","5",""
"2012","Portugal","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","64",""
"2012","Portugal","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Portugal","Last internet use: more than a year ago","Percentage of individuals","All Individuals","2",""
"2012","Portugal","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Portugal","Individuals who have ever used the internet","Percentage of individuals","All Individuals","66",""
"2012","Portugal","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Portugal","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","36",""
"2012","Portugal","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Portugal","Internet use: never","Percentage of individuals","All Individuals","34",""
"2012","Portugal","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Romania","Last internet use: in last 3 months","Percentage of individuals","All Individuals","46",""
"2012","Romania","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Romania","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","4",""
"2012","Romania","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","8",""
"2012","Romania","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","50",""
"2012","Romania","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Romania","Last internet use: more than a year ago","Percentage of individuals","All Individuals","2",""
"2012","Romania","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Romania","Individuals who have ever used the internet","Percentage of individuals","All Individuals","52",""
"2012","Romania","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Romania","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","50",""
"2012","Romania","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Romania","Internet use: never","Percentage of individuals","All Individuals","48",""
"2012","Romania","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Slovenia","Last internet use: in last 3 months","Percentage of individuals","All Individuals","68",""
"2012","Slovenia","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Slovenia","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","1",""
"2012","Slovenia","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","2",""
"2012","Slovenia","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","70",""
"2012","Slovenia","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Slovenia","Last internet use: more than a year ago","Percentage of individuals","All Individuals","2",""
"2012","Slovenia","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Slovenia","Individuals who have ever used the internet","Percentage of individuals","All Individuals","72",""
"2012","Slovenia","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Slovenia","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","30",""
"2012","Slovenia","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Slovenia","Internet use: never","Percentage of individuals","All Individuals","28",""
"2012","Slovenia","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Slovakia","Last internet use: in last 3 months","Percentage of individuals","All Individuals","77",""
"2012","Slovakia","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Slovakia","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","3",""
"2012","Slovakia","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","4",""
"2012","Slovakia","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","80",""
"2012","Slovakia","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Slovakia","Last internet use: more than a year ago","Percentage of individuals","All Individuals","2",""
"2012","Slovakia","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Slovakia","Individuals who have ever used the internet","Percentage of individuals","All Individuals","82",""
"2012","Slovakia","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Slovakia","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","20",""
"2012","Slovakia","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Slovakia","Internet use: never","Percentage of individuals","All Individuals","18",""
"2012","Slovakia","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Finland","Last internet use: in last 3 months","Percentage of individuals","All Individuals","90",""
"2012","Finland","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Finland","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","1",""
"2012","Finland","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","1",""
"2012","Finland","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","91",""
"2012","Finland","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Finland","Last internet use: more than a year ago","Percentage of individuals","All Individuals","2",""
"2012","Finland","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Finland","Individuals who have ever used the internet","Percentage of individuals","All Individuals","93",""
"2012","Finland","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Finland","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","9",""
"2012","Finland","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Finland","Internet use: never","Percentage of individuals","All Individuals","7",""
"2012","Finland","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Sweden","Last internet use: in last 3 months","Percentage of individuals","All Individuals","93",""
"2012","Sweden","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Sweden","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","1",""
"2012","Sweden","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","1",""
"2012","Sweden","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","94",""
"2012","Sweden","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Sweden","Last internet use: more than a year ago","Percentage of individuals","All Individuals","1",""
"2012","Sweden","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Sweden","Individuals who have ever used the internet","Percentage of individuals","All Individuals","95",""
"2012","Sweden","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Sweden","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","6",""
"2012","Sweden","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Sweden","Internet use: never","Percentage of individuals","All Individuals","5",""
"2012","Sweden","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Iceland","Last internet use: in last 3 months","Percentage of individuals","All Individuals","96",""
"2012","Iceland","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Iceland","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","0","n"
"2012","Iceland","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","0","n"
"2012","Iceland","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","96",""
"2012","Iceland","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Iceland","Last internet use: more than a year ago","Percentage of individuals","All Individuals","0","n"
"2012","Iceland","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Iceland","Individuals who have ever used the internet","Percentage of individuals","All Individuals","97",""
"2012","Iceland","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Iceland","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","4",""
"2012","Iceland","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Iceland","Internet use: never","Percentage of individuals","All Individuals","3",""
"2012","Iceland","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Norway","Last internet use: in last 3 months","Percentage of individuals","All Individuals","95",""
"2012","Norway","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Norway","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","1",""
"2012","Norway","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","1",""
"2012","Norway","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","95",""
"2012","Norway","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Norway","Last internet use: more than a year ago","Percentage of individuals","All Individuals","1",""
"2012","Norway","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Norway","Individuals who have ever used the internet","Percentage of individuals","All Individuals","96",""
"2012","Norway","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Norway","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","5",""
"2012","Norway","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Norway","Internet use: never","Percentage of individuals","All Individuals","4",""
"2012","Norway","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Switzerland","Last internet use: in last 3 months","Percentage of individuals","All Individuals",":",""
"2012","Switzerland","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Switzerland","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals",":",""
"2012","Switzerland","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Switzerland","Last internet use: in the last 12 months","Percentage of individuals","All Individuals",":",""
"2012","Switzerland","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Switzerland","Last internet use: more than a year ago","Percentage of individuals","All Individuals",":",""
"2012","Switzerland","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Switzerland","Individuals who have ever used the internet","Percentage of individuals","All Individuals",":",""
"2012","Switzerland","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Switzerland","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals",":",""
"2012","Switzerland","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","Switzerland","Internet use: never","Percentage of individuals","All Individuals",":",""
"2012","Switzerland","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2012","United Kingdom","Last internet use: in last 3 months","Percentage of individuals","All Individuals","87",""
